
global | dTheta0=40,dTheta1=60,pulseDur=2000,goal=1080
global | rat=3,day=6
global | year=2015,month=07,date=20,hour=20,min=28,sec=49

data | time=0,theta=0
event | time=0,feed=1
data | time=10,theta=0
data | time=20,theta=0
data | time=31,theta=0
data | time=41,theta=0
data | time=51,theta=0
data | time=62,theta=0
data | time=72,theta=0
data | time=82,theta=0
data | time=93,theta=0
data | time=103,theta=0
data | time=113,theta=0
data | time=124,theta=0
data | time=134,theta=0
data | time=144,theta=0
data | time=154,theta=0
data | time=165,theta=0
data | time=175,theta=0
data | time=185,theta=0
data | time=196,theta=0
data | time=206,theta=0
data | time=216,theta=0
data | time=226,theta=0
data | time=237,theta=0
data | time=247,theta=0
data | time=257,theta=0
data | time=268,theta=0
data | time=278,theta=0
data | time=288,theta=0
data | time=299,theta=0
data | time=309,theta=0
data | time=319,theta=0
data | time=329,theta=0
data | time=340,theta=0
data | time=350,theta=0
data | time=360,theta=0
data | time=371,theta=0
data | time=381,theta=0
data | time=391,theta=0
data | time=401,theta=0
data | time=412,theta=0
data | time=422,theta=0
data | time=432,theta=0
data | time=443,theta=0
data | time=453,theta=0
data | time=463,theta=0
data | time=473,theta=0
data | time=484,theta=0
data | time=494,theta=0
data | time=504,theta=0
data | time=515,theta=0
data | time=525,theta=0
data | time=535,theta=0
data | time=546,theta=0
data | time=556,theta=0
data | time=566,theta=0
data | time=576,theta=0
data | time=587,theta=0
data | time=597,theta=0
data | time=607,theta=0
data | time=618,theta=0
data | time=628,theta=0
data | time=638,theta=0
data | time=649,theta=0
data | time=659,theta=0
data | time=669,theta=0
data | time=680,theta=0
data | time=690,theta=0
data | time=700,theta=0
data | time=711,theta=0
data | time=721,theta=0
data | time=731,theta=0
data | time=742,theta=0
data | time=752,theta=0
data | time=762,theta=0
data | time=772,theta=0
data | time=783,theta=0
data | time=793,theta=0
data | time=803,theta=0
data | time=814,theta=0
data | time=824,theta=0
data | time=834,theta=0
data | time=845,theta=0
data | time=858,theta=0
data | time=868,theta=0
data | time=879,theta=0
data | time=889,theta=0
data | time=899,theta=0
data | time=909,theta=0
data | time=920,theta=0
data | time=930,theta=0
data | time=941,theta=0
data | time=951,theta=0
data | time=961,theta=0
data | time=972,theta=0
data | time=982,theta=0
data | time=992,theta=0
data | time=1002,theta=0
data | time=1013,theta=0
data | time=1023,theta=0
data | time=1033,theta=0
data | time=1044,theta=0
data | time=1054,theta=0
data | time=1064,theta=0
data | time=1074,theta=0
data | time=1085,theta=0
data | time=1095,theta=0
data | time=1105,theta=0
data | time=1116,theta=0
data | time=1126,theta=0
data | time=1136,theta=0
data | time=1146,theta=0
data | time=1157,theta=0
data | time=1167,theta=0
data | time=1177,theta=0
data | time=1188,theta=0
data | time=1198,theta=0
data | time=1208,theta=0
data | time=1219,theta=0
data | time=1229,theta=0
data | time=1239,theta=0
data | time=1250,theta=0
data | time=1260,theta=0
data | time=1270,theta=0
data | time=1280,theta=0
data | time=1291,theta=0
data | time=1301,theta=0
data | time=1311,theta=0
data | time=1322,theta=0
data | time=1332,theta=0
data | time=1342,theta=0
data | time=1353,theta=0
data | time=1363,theta=0
data | time=1373,theta=0
data | time=1383,theta=0
data | time=1394,theta=0
data | time=1404,theta=0
data | time=1414,theta=0
data | time=1425,theta=0
data | time=1435,theta=0
data | time=1445,theta=0
data | time=1456,theta=0
data | time=1466,theta=0
data | time=1476,theta=0
data | time=1486,theta=0
data | time=1497,theta=0
data | time=1508,theta=0
data | time=1518,theta=0
data | time=1528,theta=0
data | time=1539,theta=0
data | time=1549,theta=0
data | time=1559,theta=0
data | time=1570,theta=0
data | time=1580,theta=0
data | time=1590,theta=0
data | time=1601,theta=0
data | time=1611,theta=0
data | time=1621,theta=0
data | time=1631,theta=0
data | time=1642,theta=0
data | time=1652,theta=0
data | time=1662,theta=0
data | time=1673,theta=0
data | time=1683,theta=0
data | time=1694,theta=0
data | time=1704,theta=0
data | time=1714,theta=0
data | time=1724,theta=0
data | time=1735,theta=0
data | time=1745,theta=0
data | time=1755,theta=0
data | time=1766,theta=0
data | time=1776,theta=0
data | time=1786,theta=0
data | time=1797,theta=0
data | time=1807,theta=0
data | time=1817,theta=0
data | time=1828,theta=0
data | time=1838,theta=0
data | time=1848,theta=0
data | time=1858,theta=0
data | time=1869,theta=0
data | time=1879,theta=0
data | time=1889,theta=0
data | time=1900,theta=0
data | time=1910,theta=0
data | time=1920,theta=0
data | time=1931,theta=0
data | time=1941,theta=0
data | time=1951,theta=0
data | time=1961,theta=0
data | time=1972,theta=0
data | time=1982,theta=0
data | time=1992,theta=0
data | time=2003,theta=0
event | time=2003,feed=0
data | time=2013,theta=0
data | time=2023,theta=0
data | time=2034,theta=0
data | time=2044,theta=0
data | time=2054,theta=0
data | time=2065,theta=0
data | time=2075,theta=0
data | time=2085,theta=0
data | time=2096,theta=0
data | time=2106,theta=0
data | time=2116,theta=0
data | time=2126,theta=0
data | time=2137,theta=0
data | time=2147,theta=0
data | time=2157,theta=0
data | time=2168,theta=0
data | time=2178,theta=0
data | time=2188,theta=0
data | time=2199,theta=0
data | time=2209,theta=0
data | time=2219,theta=0
data | time=2230,theta=0
data | time=2240,theta=0
data | time=2250,theta=0
data | time=2261,theta=0
data | time=2271,theta=0
data | time=2281,theta=0
data | time=2291,theta=0
data | time=2302,theta=0
data | time=2312,theta=0
data | time=2322,theta=0
data | time=2333,theta=0
data | time=2343,theta=0
data | time=2357,theta=0
data | time=2367,theta=0
data | time=2378,theta=0
data | time=2388,theta=0
data | time=2398,theta=0
data | time=2409,theta=0
data | time=2419,theta=0
data | time=2429,theta=0
data | time=2439,theta=0
data | time=2450,theta=0
data | time=2460,theta=0
data | time=2470,theta=0
data | time=2481,theta=0
data | time=2491,theta=0
data | time=2501,theta=0
data | time=2512,theta=0
data | time=2522,theta=0
data | time=2532,theta=0
data | time=2542,theta=0
data | time=2553,theta=0
data | time=2563,theta=0
data | time=2573,theta=0
data | time=2584,theta=0
data | time=2594,theta=0
data | time=2604,theta=0
data | time=2615,theta=0
data | time=2625,theta=0
data | time=2635,theta=0
data | time=2645,theta=0
data | time=2656,theta=0
data | time=2666,theta=0
data | time=2676,theta=0
data | time=2687,theta=0
data | time=2697,theta=0
data | time=2707,theta=0
data | time=2718,theta=0
data | time=2728,theta=0
data | time=2738,theta=0
data | time=2748,theta=0
data | time=2759,theta=0
data | time=2769,theta=0
data | time=2779,theta=0
data | time=2790,theta=0
data | time=2800,theta=0
data | time=2810,theta=0
data | time=2821,theta=0
data | time=2831,theta=0
data | time=2841,theta=0
data | time=2852,theta=0
data | time=2862,theta=0
data | time=2872,theta=0
data | time=2882,theta=0
data | time=2893,theta=0
data | time=2903,theta=0
data | time=2913,theta=0
data | time=2924,theta=0
data | time=2934,theta=0
data | time=2944,theta=0
data | time=2954,theta=0
data | time=2965,theta=0
data | time=2975,theta=0
data | time=2985,theta=0
data | time=2996,theta=0
data | time=3006,theta=0
data | time=3016,theta=0
data | time=3027,theta=0
data | time=3037,theta=0
data | time=3047,theta=0
data | time=3058,theta=0
data | time=3068,theta=0
data | time=3078,theta=0
data | time=3088,theta=0
data | time=3099,theta=0
data | time=3109,theta=0
data | time=3123,theta=0
data | time=3133,theta=0
data | time=3144,theta=0
data | time=3154,theta=0
